ticker,sector,stress_score,verdict,n_red_flags,altman_z,altman_z_adj,piotroski_f,net_margin
JCP,Retail,54.5,[HIGH] High Risk,6,1.176,1.176,2,-0.0244
FRC,Financial_Services,54.3,[HIGH] High Risk,5,-0.869,-1.564,2,0.1791
LEHMQ,Financial_Services,54.3,[HIGH] High Risk,5,0.138,0.248,2,0.091
IONS,Healthcare,53.7,[HIGH] High Risk,4,-0.026,-0.026,3,-0.4605
SPCE,Technology,53.7,[HIGH] High Risk,5,-3.988,-7.179,2,-49.2808
SHLDQ,Retail,53.4,[HIGH] High Risk,5,-0.173,-0.173,2,-0.0229
WLL,Energy,52.2,[HIGH] High Risk,4,-2.809,-2.809,3,-1.4
ENDP,Healthcare,52.2,[HIGH] High Risk,4,-2.158,-2.158,3,-0.9674
SNDX,Healthcare,52.2,[HIGH] High Risk,4,-2.65,-2.65,2,-13.4611
MGNX,Healthcare,51.2,[HIGH] High Risk,3,-5.859,-5.859,3,-0.4466
BBBY,Retail,51.1,[HIGH] High Risk,4,-0.204,-0.204,2,-0.1855
INTC,Technology,50.0,[MODERATE] Moderate Risk,3,0.495,0.89,3,-0.3532
RF,Financial_Services,48.3,[MODERATE] Moderate Risk,2,0.16,0.287,3,
NFGC,Energy,45.4,[MODERATE] Moderate Risk,5,2.675,2.675,1,-8.3626
CCL,Retail,44.7,[MODERATE] Moderate Risk,3,0.484,0.484,6,0.1015
RCL,Retail,43.8,[MODERATE] Moderate Risk,2,0.419,0.419,6,1.2335
AR,Energy,43.0,[MODERATE] Moderate Risk,3,1.093,1.093,4,0.1403
SIVB,Financial_Services,41.6,[MODERATE] Moderate Risk,4,-0.802,-1.444,2,0.2513
CATO,Retail,41.4,[MODERATE] Moderate Risk,3,1.654,1.654,4,-0.0338
CHESQ,Energy,37.9,[MODERATE] Moderate Risk,4,-1.972,-1.972,4,-0.0385
NVAX,Healthcare,37.9,[MODERATE] Moderate Risk,4,-4.774,-4.774,4,-0.2749
ALNY,Healthcare,36.8,[MODERATE] Moderate Risk,3,-1.693,-1.693,4,-0.2681
PTON,Retail,36.6,[MODERATE] Moderate Risk,3,-2.873,-2.873,4,-0.2044
APPN,Technology,36.5,[MODERATE] Moderate Risk,2,-1.212,-2.182,6,-0.4069
SBNY,Financial_Services,36.4,[MODERATE] Moderate Risk,2,0.046,0.083,4,0.4959
AMGN,Healthcare,35.3,[MODERATE] Moderate Risk,2,0.195,0.195,6,0.1609
W,Retail,35.0,[MODERATE] Moderate Risk,4,-1.337,-1.337,6,-0.1042
VSCO,Retail,34.4,[MODERATE] Moderate Risk,2,1.614,1.614,6,0.0176
RH,Retail,34.0,[MODERATE] Moderate Risk,1,0.317,0.317,7,0.157
BNED,Retail,33.5,[MODERATE] Moderate Risk,3,-0.234,-0.234,3,-0.1777
MVST,Technology,33.4,[MODERATE] Moderate Risk,3,-1.075,-1.935,5,-0.5146
KLAC,Technology,33.1,[MODERATE] Moderate Risk,1,1.361,2.45,6,0.2815
CNX,Energy,32.8,[MODERATE] Moderate Risk,3,0.888,0.888,4,-0.0714
DVN,Energy,32.5,[MODERATE] Moderate Risk,2,0.589,0.589,4,0.1815
BHVN,Healthcare,32.1,[MODERATE] Moderate Risk,2,-5.736,-5.736,1,
GILD,Healthcare,31.8,[MODERATE] Moderate Risk,1,0.637,0.637,7,0.0647
ZS,Technology,31.5,[MODERATE] Moderate Risk,3,0.329,0.592,6,-0.0266
VRTX,Healthcare,31.1,[MODERATE] Moderate Risk,3,2.521,2.521,4,-0.8219
TLYS,Retail,31.1,[MODERATE] Moderate Risk,2,0.573,0.573,3,-0.2022
GTLB,Technology,31.0,[MODERATE] Moderate Risk,2,-0.238,-0.429,4,-0.734
GCO,Retail,30.6,[MODERATE] Moderate Risk,3,2.648,2.648,5,-0.0072
FANG,Energy,30.2,[MODERATE] Moderate Risk,2,1.245,1.245,4,0.3016
ESTC,Technology,30.2,[MODERATE] Moderate Risk,2,0.402,0.724,6,0.0487
SM,Energy,30.2,[MODERATE] Moderate Risk,2,1.124,1.124,6,0.2862
BMY,Healthcare,30.1,[MODERATE] Moderate Risk,3,0.953,0.953,4,-0.1853
